Timestamp,Email,Discipline,Process,Occupational
##########,Student1,Humanities,"My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges, I learned a lot about preparing for life after MHC","Data analysis, Education, Education"
##########,Student2,Natural sciences,"My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people","Education, Communications, Journalism"
##########,Student3,Social sciences,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Humanitarianism, Art, Sustainability"
##########,Student4,Humanities,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, I learned a lot about preparing for life after MHC","Sustainability, Health, Social justice"
##########,Student5,Social sciences,"My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Communications, Data analysis, Social justice"
##########,Student6,Social sciences,"I learned a lot about time management, My internship or summer experience was successful beyond my dreams, I connected local and global experiences in new ways","Writing, Marketing, Science"
##########,Student7,Arts,"My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people, My internship or summer experience was defined by substantial challenges","Media, Social justice, Sustainability"
##########,Student8,Humanities,"I learned a lot about preparing for life after MHC, I connected local and global experiences in new ways, I learned a lot about preparing for life after MHC","Science, Communications, Lab work"
##########,Student9,Humanities,"My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Marketing, Business, Communications"
##########,Student10,Arts,"I learned a lot about preparing for life after MHC, My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC","Science, Humanitarianism, Art"
##########,Student11,Arts,"I connected local and global experiences in new ways, I learned a lot about time management, My internship or summer experience connected me to new place and new people","Communications, Health, Sustainability"
##########,Student12,Social sciences,"I learned a lot about time management, I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people","Humanitarianism, Science, Science"
##########,Student13,Arts,"My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges","Social justice, Media, Data analysis"
##########,Student14,Arts,"My internship or summer experience was defined by substantial challenges, I connected local and global experiences in new ways, My internship or summer experience connected me to new place and new people","Sustainability, Business, Social justice"
##########,Student15,Social sciences,"My internship or summer experience connected me to new place and new people, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Communications, Writing, Marketing"
##########,Student16,Humanities,"I learned a lot about preparing for life after MHC, My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people","Humanitarianism, Banking, Policy"
##########,Student17,Arts,"I learned a lot about time management, I learned a lot about time management, I connected local and global experiences in new ways","Banking, Art, Tech"
##########,Student18,Arts,"My internship or summer experience was successful beyond my dreams, I learned a lot about time management, I learned a lot about time management","Science, Sustainability, Marketing"
##########,Student19,Natural sciences,"My internship or summer experience was successful beyond my dreams, I connected local and global experiences in new ways, I learned a lot about time management","Marketing, Social justice, Writing"
##########,Student20,Arts,"I connected local and global experiences in new ways, I connected local and global experiences in new ways, I learned a lot about preparing for life after MHC","Policy, Banking, Data analysis"
##########,Student21,Humanities,"My internship or summer experience was successful beyond my dreams, I connected local and global experiences in new ways, I learned a lot about time management","Social justice, Marketing, Writing"
##########,Student22,Humanities,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, I learned a lot about time management","Sustainability, Writing, Communications"
##########,Student23,Natural sciences,"My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people, I learned a lot about time management","Sustainability, Health, Media"
##########,Student24,Social sciences,"My internship or summer experience was successful beyond my dreams, I connected local and global experiences in new ways, My internship or summer experience was successful beyond my dreams","Banking, Data analysis, Tech"
##########,Student25,Natural sciences,"My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges","Research, Research, Data analysis"
##########,Student26,Humanities,"My internship or summer experience connected me to new place and new people, I learned a lot about time management, I learned a lot about preparing for life after MHC","Policy, Communications, Data analysis"
##########,Student27,Humanities,"I learned a lot about time management, I connected local and global experiences in new ways, My internship or summer experience was successful beyond my dreams","Research, Media, Humanitarianism"
##########,Student28,Natural sciences,"I learned a lot about preparing for life after MHC, I learned a lot about preparing for life after MHC, I learned a lot about time management","Policy, Writing, Data analysis"
##########,Student29,Arts,"I learned a lot about time management, I learned a lot about time management, I connected local and global experiences in new ways","Science, Humanitarianism, Social justice"
##########,Student30,Social sciences,"My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Communications, Banking, Education"
##########,Student31,Social sciences,"I connected local and global experiences in new ways, My internship or summer experience was defined by substantial challenges, I learned a lot about time management","Data analysis, Tech, Policy"
##########,Student32,Arts,"I learned a lot about preparing for life after MHC, My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges","Communications, Banking, Policy"
##########,Student33,Natural sciences,"My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Journalism, Social justice, Policy"
##########,Student34,Natural sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people, My internship or summer experience was defined by substantial challenges","Writing, Social justice, Communications"
##########,Student35,Arts,"I learned a lot about time management, I connected local and global experiences in new ways, I learned a lot about preparing for life after MHC","Humanitarianism, Media, Media"
##########,Student36,Humanities,"My internship or summer experience was defined by substantial challenges, I learned a lot about preparing for life after MHC, I connected local and global experiences in new ways","Media, Humanitarianism, Banking"
##########,Student37,Arts,"My internship or summer experience was successful beyond my dreams, I learned a lot about time management, I learned a lot about preparing for life after MHC","Research, Communications, Social justice"
##########,Student38,Social sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience was successful beyond my dreams, I learned a lot about time management","Banking, Data analysis, Science"
##########,Student39,Humanities,"My internship or summer experience connected me to new place and new people, My internship or summer experience was defined by substantial challenges, My internship or summer experience was successful beyond my dreams","Social justice, Science, Banking"
##########,Student40,Natural sciences,"My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges","Banking, Journalism, Science"
##########,Student41,Humanities,"My internship or summer experience was defined by substantial challenges, My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC","Business, Journalism, Media"
##########,Student42,Natural sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Banking, Research, Tech"
##########,Student43,Humanities,"I connected local and global experiences in new ways, I learned a lot about time management, My internship or summer experience was defined by substantial challenges","Policy, Banking, Media"
##########,Student44,Humanities,"I learned a lot about time management, I learned a lot about time management, My internship or summer experience was defined by substantial challenges","Business, Journalism, Data analysis"
##########,Student45,Arts,"I connected local and global experiences in new ways, My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges","Health, Marketing, Sustainability"
##########,Student46,Natural sciences,"I learned a lot about time management, My internship or summer experience was defined by substantial challenges, I connected local and global experiences in new ways","Policy, Marketing, Data analysis"
##########,Student47,Social sciences,"My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC, My internship or summer experience was defined by substantial challenges","Writing, Data analysis, Journalism"
##########,Student48,Social sciences,"I connected local and global experiences in new ways, My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people","Journalism, Media, Marketing"
##########,Student49,Humanities,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Journalism, Science, Communications"