Timestamp,Email Address,Write a sentence or two to respond to each question above. ,"Thinking very broadly, where would you locate your summer internship, research or work experience in academic terms (note this is about your summer experience which may not match your major).","Thinking about your learning process, pick the best 2-3 terms that describe your internship, research or work experience",Pick the best 2-3 terms that describe your internship in broad occupational terms.,What is your major?,Please state your second major or minor if you have one 
##########,Student1,Blah blah blah,Humanities,"My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges, I learned a lot about preparing for life after MHC","Data analysis, Education, Education",Blah blah blah,Blah blah blah
##########,Student2,Blah blah blah,Natural sciences,"My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people","Education, Communications, Journalism",Blah blah blah,Blah blah blah
##########,Student3,Blah blah blah,Social sciences,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Humanitarianism, Art, Sustainability",Blah blah blah,Blah blah blah
##########,Student4,Blah blah blah,Humanities,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, I learned a lot about preparing for life after MHC","Sustainability, Health, Social justice",Blah blah blah,Blah blah blah
##########,Student5,Blah blah blah,Social sciences,"My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Communications, Data analysis, Social justice",Blah blah blah,Blah blah blah
##########,Student6,Blah blah blah,Social sciences,"I learned a lot about time management, My internship or summer experience was successful beyond my dreams, I connected local and global experiences in new ways","Writing, Marketing, Science",Blah blah blah,Blah blah blah
##########,Student7,Blah blah blah,Arts,"My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people, My internship or summer experience was defined by substantial challenges","Media, Social justice, Sustainability",Blah blah blah,Blah blah blah
##########,Student8,Blah blah blah,Humanities,"I learned a lot about preparing for life after MHC, I connected local and global experiences in new ways, I learned a lot about preparing for life after MHC","Science, Communications, Lab work",Blah blah blah,Blah blah blah
##########,Student9,Blah blah blah,Humanities,"My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Marketing, Business, Communications",Blah blah blah,Blah blah blah
##########,Student10,Blah blah blah,Arts,"I learned a lot about preparing for life after MHC, My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC","Science, Humanitarianism, Art",Blah blah blah,Blah blah blah
##########,Student11,Blah blah blah,Arts,"I connected local and global experiences in new ways, I learned a lot about time management, My internship or summer experience connected me to new place and new people","Communications, Health, Sustainability",Blah blah blah,Blah blah blah
##########,Student12,Blah blah blah,Social sciences,"I learned a lot about time management, I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people","Humanitarianism, Science, Science",Blah blah blah,Blah blah blah
##########,Student13,Blah blah blah,Arts,"My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges","Social justice, Media, Data analysis",Blah blah blah,Blah blah blah
##########,Student14,Blah blah blah,Arts,"My internship or summer experience was defined by substantial challenges, I connected local and global experiences in new ways, My internship or summer experience connected me to new place and new people","Sustainability, Business, Social justice",Blah blah blah,Blah blah blah
##########,Student15,Blah blah blah,Social sciences,"My internship or summer experience connected me to new place and new people, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Communications, Writing, Marketing",Blah blah blah,Blah blah blah
##########,Student16,Blah blah blah,Humanities,"I learned a lot about preparing for life after MHC, My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people","Humanitarianism, Banking, Policy",Blah blah blah,Blah blah blah
##########,Student17,Blah blah blah,Arts,"I learned a lot about time management, I learned a lot about time management, I connected local and global experiences in new ways","Banking, Art, Tech",Blah blah blah,Blah blah blah
##########,Student18,Blah blah blah,Arts,"My internship or summer experience was successful beyond my dreams, I learned a lot about time management, I learned a lot about time management","Science, Sustainability, Marketing",Blah blah blah,Blah blah blah
##########,Student19,Blah blah blah,Natural sciences,"My internship or summer experience was successful beyond my dreams, I connected local and global experiences in new ways, I learned a lot about time management","Marketing, Social justice, Writing",Blah blah blah,Blah blah blah
##########,Student20,Blah blah blah,Arts,"I connected local and global experiences in new ways, I connected local and global experiences in new ways, I learned a lot about preparing for life after MHC","Policy, Banking, Data analysis",Blah blah blah,Blah blah blah
##########,Student21,Blah blah blah,Humanities,"My internship or summer experience was successful beyond my dreams, I connected local and global experiences in new ways, I learned a lot about time management","Social justice, Marketing, Writing",Blah blah blah,Blah blah blah
##########,Student22,Blah blah blah,Humanities,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, I learned a lot about time management","Sustainability, Writing, Communications",Blah blah blah,Blah blah blah
##########,Student23,Blah blah blah,Natural sciences,"My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people, I learned a lot about time management","Sustainability, Health, Media",Blah blah blah,Blah blah blah
##########,Student24,Blah blah blah,Social sciences,"My internship or summer experience was successful beyond my dreams, I connected local and global experiences in new ways, My internship or summer experience was successful beyond my dreams","Banking, Data analysis, Tech",Blah blah blah,Blah blah blah
##########,Student25,Blah blah blah,Natural sciences,"My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges","Research, Research, Data analysis",Blah blah blah,Blah blah blah
##########,Student26,Blah blah blah,Humanities,"My internship or summer experience connected me to new place and new people, I learned a lot about time management, I learned a lot about preparing for life after MHC","Policy, Communications, Data analysis",Blah blah blah,Blah blah blah
##########,Student27,Blah blah blah,Humanities,"I learned a lot about time management, I connected local and global experiences in new ways, My internship or summer experience was successful beyond my dreams","Research, Media, Humanitarianism",Blah blah blah,Blah blah blah
##########,Student28,Blah blah blah,Natural sciences,"I learned a lot about preparing for life after MHC, I learned a lot about preparing for life after MHC, I learned a lot about time management","Policy, Writing, Data analysis",Blah blah blah,Blah blah blah
##########,Student29,Blah blah blah,Arts,"I learned a lot about time management, I learned a lot about time management, I connected local and global experiences in new ways","Science, Humanitarianism, Social justice",Blah blah blah,Blah blah blah
##########,Student30,Blah blah blah,Social sciences,"My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Communications, Banking, Education",Blah blah blah,Blah blah blah
##########,Student31,Blah blah blah,Social sciences,"I connected local and global experiences in new ways, My internship or summer experience was defined by substantial challenges, I learned a lot about time management","Data analysis, Tech, Policy",Blah blah blah,Blah blah blah
##########,Student32,Blah blah blah,Arts,"I learned a lot about preparing for life after MHC, My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges","Communications, Banking, Policy",Blah blah blah,Blah blah blah
##########,Student33,Blah blah blah,Natural sciences,"My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Journalism, Social justice, Policy",Blah blah blah,Blah blah blah
##########,Student34,Blah blah blah,Natural sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people, My internship or summer experience was defined by substantial challenges","Writing, Social justice, Communications",Blah blah blah,Blah blah blah
##########,Student35,Blah blah blah,Arts,"I learned a lot about time management, I connected local and global experiences in new ways, I learned a lot about preparing for life after MHC","Humanitarianism, Media, Media",Blah blah blah,Blah blah blah
##########,Student36,Blah blah blah,Humanities,"My internship or summer experience was defined by substantial challenges, I learned a lot about preparing for life after MHC, I connected local and global experiences in new ways","Media, Humanitarianism, Banking",Blah blah blah,Blah blah blah
##########,Student37,Blah blah blah,Arts,"My internship or summer experience was successful beyond my dreams, I learned a lot about time management, I learned a lot about preparing for life after MHC","Research, Communications, Social justice",Blah blah blah,Blah blah blah
##########,Student38,Blah blah blah,Social sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience was successful beyond my dreams, I learned a lot about time management","Banking, Data analysis, Science",Blah blah blah,Blah blah blah
##########,Student39,Blah blah blah,Humanities,"My internship or summer experience connected me to new place and new people, My internship or summer experience was defined by substantial challenges, My internship or summer experience was successful beyond my dreams","Social justice, Science, Banking",Blah blah blah,Blah blah blah
##########,Student40,Blah blah blah,Natural sciences,"My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges","Banking, Journalism, Science",Blah blah blah,Blah blah blah
##########,Student41,Blah blah blah,Humanities,"My internship or summer experience was defined by substantial challenges, My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC","Business, Journalism, Media",Blah blah blah,Blah blah blah
##########,Student42,Blah blah blah,Natural sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Banking, Research, Tech",Blah blah blah,Blah blah blah
##########,Student43,Blah blah blah,Humanities,"I connected local and global experiences in new ways, I learned a lot about time management, My internship or summer experience was defined by substantial challenges","Policy, Banking, Media",Blah blah blah,Blah blah blah
##########,Student44,Blah blah blah,Humanities,"I learned a lot about time management, I learned a lot about time management, My internship or summer experience was defined by substantial challenges","Business, Journalism, Data analysis",Blah blah blah,Blah blah blah
##########,Student45,Blah blah blah,Arts,"I connected local and global experiences in new ways, My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges","Health, Marketing, Sustainability",Blah blah blah,Blah blah blah
##########,Student46,Blah blah blah,Natural sciences,"I learned a lot about time management, My internship or summer experience was defined by substantial challenges, I connected local and global experiences in new ways","Policy, Marketing, Data analysis",Blah blah blah,Blah blah blah
##########,Student47,Blah blah blah,Social sciences,"My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC, My internship or summer experience was defined by substantial challenges","Writing, Data analysis, Journalism",Blah blah blah,Blah blah blah
##########,Student48,Blah blah blah,Social sciences,"I connected local and global experiences in new ways, My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people","Journalism, Media, Marketing",Blah blah blah,Blah blah blah
##########,Student49,Blah blah blah,Humanities,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Journalism, Science, Communications",Blah blah blah,Blah blah blah